molecule_abbrev,molecule_name,algorithm_name,calculated_energy,reference_energy,error,relative_error,n_iterations,n_qubits,n_parameters,runtime_seconds,converged,hf_energy
ala,alanine,vanilla_vqe,-320.44737224963785,-321.89207872400544,1.4447064743675924,0.0044881703212283856,28,8,48,1.4993324279785156,True,-317.37063240037514
ala,alanine,adapt_vqe,-321.88975642379455,-321.89207872400544,0.002322300210892081,7.214530472752801e-06,0,8,0,5.643115758895874,True,-317.37063240037514
ala,alanine,qubit_adapt_vqe,-321.88975642379455,-321.89207872400544,0.002322300210892081,7.214530472752801e-06,0,8,0,30.581106424331665,True,
ala,alanine,hardware_efficient_vqe,-320.0586163907028,-321.89207872400544,1.8334623333026343,0.00569589143221716,30,8,48,1.322624683380127,True,-317.37063240037514
ala,alanine,qaoa_inspired_vqe,-321.632826538615,-321.89207872400544,0.25925218539043726,0.0008054009481007563,56,8,12,1.6098499298095703,False,-317.37063240037514
ala,alanine,iqcc_inspired_vqe,-321.88975642379455,-321.89207872400544,0.002322300210892081,7.214530472752801e-06,0,8,0,7.241071462631226,True,-317.37063240037514
ala,alanine,iqcc_vqe,-321.88975642379455,-321.89207872400544,0.002322300210892081,7.214530472752801e-06,0,8,0,7.598482370376587,True,-317.37063240037514
ala,alanine,cb_vqe,-320.0305468251134,-321.89207872400544,1.8615318988920535,0.005783093222645456,28,8,48,2.712167263031006,False,-317.37063240037514
ala,alanine,hva_vqe,-321.88975642368047,-321.89207872400544,0.0023223003249768226,7.214530827172028e-06,25,8,48,13.08081841468811,True,-317.37063240037514
ala,alanine,ucc_vqe,-321.88975642379455,-321.89207872400544,0.002322300210892081,7.214530472752801e-06,30,8,8,0.6424713134765625,True,-317.37063240037514
ala,alanine,nn_ae_vqe,-321.88975642379455,-321.89207872400544,0.002322300210892081,7.214530472752801e-06,38,8,24,1.4415254592895508,True,-317.37063240037514
arg,arginine,vanilla_vqe,-601.6149868966759,-602.9340092864841,1.3190223898081967,0.0021876728953623566,28,8,48,1.557204246520996,False,-600.0894730077101
arg,arginine,adapt_vqe,-602.9339108170591,-602.9340092864841,9.846942498370481e-05,1.6331708523165604e-07,0,8,0,4.65020227432251,True,-600.0894730077101
arg,arginine,qubit_adapt_vqe,-602.9339108170591,-602.9340092864841,9.846942498370481e-05,1.6331708523165604e-07,0,8,0,29.880242109298706,True,
arg,arginine,hardware_efficient_vqe,-601.7954502489874,-602.9340092864841,1.1385590374966341,0.001888364265343088,27,8,48,1.3483912944793701,True,-600.0894730077101
arg,arginine,qaoa_inspired_vqe,-602.87827516783,-602.9340092864841,0.05573411865407252,9.243817365689594e-05,61,8,12,1.6800189018249512,False,-600.0894730077101
arg,arginine,iqcc_inspired_vqe,-602.9339108170591,-602.9340092864841,9.846942498370481e-05,1.6331708523165604e-07,0,8,0,7.2455244064331055,True,-600.0894730077101
arg,arginine,iqcc_vqe,-602.9339108170591,-602.9340092864841,9.846942498370481e-05,1.6331708523165604e-07,0,8,0,7.343385219573975,True,-600.0894730077101
arg,arginine,cb_vqe,-601.7546128154286,-602.9340092864841,1.1793964710554974,0.0019560954480759888,27,8,48,2.689836025238037,True,-600.0894730077101
arg,arginine,hva_vqe,-602.9339108168406,-602.9340092864841,9.846964348980691e-05,1.633174476363284e-07,25,8,48,13.03408670425415,True,-600.0894730077101
arg,arginine,ucc_vqe,-602.9339108170591,-602.9340092864841,9.846942498370481e-05,1.6331708523165604e-07,30,8,8,0.6477272510528564,True,-600.0894730077101
arg,arginine,nn_ae_vqe,-602.9339108170591,-602.9340092864841,9.846942498370481e-05,1.6331708523165604e-07,39,8,24,1.340235948562622,True,-600.0894730077101
asp,aspartic_acid,vanilla_vqe,-508.2351019625128,-509.51718663063,1.2820846681172497,0.002516273644458407,27,8,48,1.5683643817901611,False,-506.0881242533257
asp,aspartic_acid,adapt_vqe,-509.51164219781595,-509.51718663063,0.005544432814076572,1.0881738554770204e-05,0,8,0,5.776094675064087,True,-506.0881242533257
asp,aspartic_acid,qubit_adapt_vqe,-509.51164219781595,-509.51718663063,0.005544432814076572,1.0881738554770204e-05,0,8,0,31.30304718017578,True,
asp,aspartic_acid,hardware_efficient_vqe,-508.1568417974296,-509.51718663063,1.360344833200429,0.002669870357457832,28,8,48,1.3176333904266357,True,-506.0881242533257
asp,aspartic_acid,qaoa_inspired_vqe,-509.37936975990146,-509.51718663063,0.13781687072855675,0.00027048522472798524,59,8,12,1.8290154933929443,False,-506.0881242533257
asp,aspartic_acid,iqcc_inspired_vqe,-509.51164219781595,-509.51718663063,0.005544432814076572,1.0881738554770204e-05,0,8,0,7.646350622177124,True,-506.0881242533257
asp,aspartic_acid,iqcc_vqe,-509.51164219781595,-509.51718663063,0.005544432814076572,1.0881738554770204e-05,0,8,0,7.328150510787964,True,-506.0881242533257
asp,aspartic_acid,cb_vqe,-508.3064192763922,-509.51718663063,1.2107673542378166,0.002376303265144914,26,8,48,3.068451404571533,True,-506.0881242533257
asp,aspartic_acid,hva_vqe,-509.51164219763416,-509.51718663063,0.0055444329958618255,1.0881738911549638e-05,25,8,48,13.672418117523193,True,-506.0881242533257
asp,aspartic_acid,ucc_vqe,-509.51164219781595,-509.51718663063,0.005544432814076572,1.0881738554770204e-05,30,8,8,0.7294652462005615,True,-506.0881242533257
asp,aspartic_acid,nn_ae_vqe,-509.51164219781595,-509.51718663063,0.005544432814076572,1.0881738554770204e-05,38,8,24,1.4774646759033203,True,-506.0881242533257
cys,cysteine,vanilla_vqe,-718.4646327948396,-719.4144095585827,0.9497767637431025,0.0013202081458527708,26,8,48,1.4723565578460693,True,-716.7322829176494
cys,cysteine,adapt_vqe,-719.4133024340704,-719.4144095585827,0.0011071245123730478,1.5389245720729386e-06,0,8,0,4.490311622619629,True,-716.7322829176494
cys,cysteine,qubit_adapt_vqe,-719.4133024340704,-719.4144095585827,0.0011071245123730478,1.5389245720729386e-06,0,8,0,30.146390199661255,True,
