molecule,method,vqe_energy,hf_energy,exact_energy,error_vs_exact,error_vs_hf,iterations
alanine,unknown,,-317.3706324004,,,,
alanine,unknown,,-317.3706324004,,,,
alanine,unknown,,,,,,
alanine,unknown,,-317.3706324004,,,,
alanine,unknown,,-317.3706324004,,,,
alanine,unknown,,-317.3706324004,,,,
alanine,unknown,,-317.3706324004,,,,
alanine,unknown,,-317.3706324004,,,,
alanine,unknown,,-317.3706324004,,,,
alanine,unknown,,-317.3706324004,,,,
alanine,unknown,,-317.3706324004,,,,
arginine,unknown,,-600.0894730077,,,,
arginine,unknown,,-600.0894730077,,,,
arginine,unknown,,,,,,
arginine,unknown,,-600.0894730077,,,,
arginine,unknown,,-600.0894730077,,,,
arginine,unknown,,-600.0894730077,,,,
arginine,unknown,,-600.0894730077,,,,
arginine,unknown,,-600.0894730077,,,,
arginine,unknown,,-600.0894730077,,,,
arginine,unknown,,-600.0894730077,,,,
arginine,unknown,,-600.0894730077,,,,
aspartic_acid,unknown,,-506.0881242533,,,,
aspartic_acid,unknown,,-506.0881242533,,,,
aspartic_acid,unknown,,,,,,
aspartic_acid,unknown,,-506.0881242533,,,,
aspartic_acid,unknown,,-506.0881242533,,,,
aspartic_acid,unknown,,-506.0881242533,,,,
aspartic_acid,unknown,,-506.0881242533,,,,
aspartic_acid,unknown,,-506.0881242533,,,,
aspartic_acid,unknown,,-506.0881242533,,,,
aspartic_acid,unknown,,-506.0881242533,,,,
aspartic_acid,unknown,,-506.0881242533,,,,
cysteine,unknown,,-716.7322829176,,,,
cysteine,unknown,,-716.7322829176,,,,
cysteine,unknown,,,,,,
cysteine,unknown,,-716.7322829176,,,,
cysteine,unknown,,-716.7322829176,,,,
cysteine,unknown,,-716.7322829176,,,,
cysteine,unknown,,-716.7322829176,,,,
cysteine,unknown,,-716.7322829176,,,,
cysteine,unknown,,-716.7322829176,,,,
cysteine,unknown,,-716.7322829176,,,,
cysteine,unknown,,-716.7322829176,,,,
glycine,unknown,,-280.0079706126,,,,
glycine,unknown,,-280.0079706126,,,,
glycine,unknown,,,,,,
glycine,unknown,,-280.0079706126,,,,
glycine,unknown,,-280.0079706126,,,,
glycine,unknown,,-280.0079706126,,,,
glycine,unknown,,-280.0079706126,,,,
glycine,unknown,,-280.0079706126,,,,
glycine,unknown,,-280.0079706126,,,,
glycine,unknown,,-280.0079706126,,,,
glycine,unknown,,-280.0079706126,,,,
